ThinkTankId,ThinkTankPoliticalWing,ThinkTankName,ThinkTankFoundedOn,OfficerId,OfficerName,OfficerRole,OfficerAppointedOn,OfficerResignedOn,CompanyNumber,CompanyName,CompanyType,CompanyDateOfCreation,CompanyDateOfCessation,CompanySicCode,CompanySicCodeCategory,CompanySicCodeDescription
EU-1496,Right,Institute of Economic Affairs,01/01/1955,I-YaDsekY9uzHQdqqhc-MXtDei8,Bruno George Prior,Director,01/02/2007,,01738920,Summerleaze Limited,Ltd,12/07/1983,,02100,"Agriculture, Forestry and Fishing",Silviculture and other forestry activities
EU-1414,Left,Demos,01/01/1993,y2kkCC3HNP3393upK8WKZmfwHdc,Alan Parker,Director,07/12/2000,,SC213553,Andstrat (No. 120) Limited,Ltd,06/12/2000,27/10/2022,03120,"Agriculture, Forestry and Fishing",Freshwater fishing
EU-1875,Right,Legatum Institute,05/11/2010,E4wn17YN80fcW0bPAcDKjUKB5Mg,Toby Oliver James Baxendale,Director,05/03/2007,26/08/2008,03888176,Neve & Dell (Trawlers) Limited,Ltd,03/12/1999,12/07/2011,0501,Unknown,Unknown
EU-1682,Right,Centre for Policy Studies,01/01/1974,Gtrfr4Nt7lpvDnAkPQfvoChSzW0,John Gordon Cluff,Director,22/06/2011,,07433904,Cluff Africa Coal Limited,Ltd,09/11/2010,14/11/2017,05102,Mining and Quarrying,Open cast coal working
EU-1488,Left,Institute for Public Policy Research,01/01/1986,E3htNNJkXUengcgKvbV8AedQOJU,Dr Christopher Shaw Gibson Smith,Director,,30/09/1995,00305943,Bp Exploration Operating Company Limited,Ltd,12/10/1935,,06100,Mining and Quarrying,Extraction of crude petroleum
EU-1488,Left,Institute for Public Policy Research,01/01/1986,E3htNNJkXUengcgKvbV8AedQOJU,Dr Christopher Shaw Gibson Smith,Director,,31/08/1995,SC077750,Britoil Limited,Ltd,04/03/1982,,06100,Mining and Quarrying,Extraction of crude petroleum
EU-1488,Left,Institute for Public Policy Research,01/01/1986,E3htNNJkXUengcgKvbV8AedQOJU,Dr Christopher Shaw Gibson Smith,Director,,01/01/1995,00895797,Bp Exploration Beta Limited,Ltd,12/01/1967,,06100,Mining and Quarrying,Extraction of crude petroleum
EU-1488,Left,Institute for Public Policy Research,01/01/1986,E3htNNJkXUengcgKvbV8AedQOJU,Dr Christopher Shaw Gibson Smith,Director,,01/01/1995,01009905,Bp Exploration Indonesia Limited,Ltd,03/05/1971,,06100,Mining and Quarrying,Extraction of crude petroleum
EU-1682,Right,Centre for Policy Studies,01/01/1974,Gtrfr4Nt7lpvDnAkPQfvoChSzW0,John Gordon Cluff,Director,02/07/2014,,09113179,Winston Oil & Resources Limited,Ltd,02/07/2014,14/01/2020,06100,Mining and Quarrying,Extraction of crude petroleum
EU-1351,Right,Adam Smith Institute,01/01/1977,CSxHcD70n3uGlFZx_E0vYxsm1aY,Rachel June English,Director,14/04/2008,22/12/2008,05350159,Gasol Plc,Plc,02/02/2005,16/10/2019,06100,Mining and Quarrying,Extraction of crude petroleum
EU-1488,Left,Institute for Public Policy Research,01/01/1986,E3htNNJkXUengcgKvbV8AedQOJU,Dr Christopher Shaw Gibson Smith,Director,,14/07/1993,00989348,Wingas Storage Enterprise Limited,Ltd,15/09/1970,05/12/2017,06200,Mining and Quarrying,Extraction of natural gas
EU-1488,Left,Institute for Public Policy Research,01/01/1986,E3htNNJkXUengcgKvbV8AedQOJU,Dr Christopher Shaw Gibson Smith,Director,,14/07/1993,00953066,Saltfleetby Energy Limited,Ltd,29/04/1969,,06200,Mining and Quarrying,Extraction of natural gas
EU-1682,Right,Centre for Policy Studies,01/01/1974,Gtrfr4Nt7lpvDnAkPQfvoChSzW0,John Gordon Cluff,Director,21/02/2012,22/05/2019,07958581,Deltic Energy Plc,Plc,21/02/2012,,06200,Mining and Quarrying,Extraction of natural gas
EU-1682,Right,Centre for Policy Studies,01/01/1974,Gtrfr4Nt7lpvDnAkPQfvoChSzW0,John Gordon Cluff,Director,01/10/2013,,SC460464,Cluff Energy (Scotland) Limited,Ltd,01/10/2013,18/07/2017,06200,Mining and Quarrying,Extraction of natural gas
EU-1682,Right,Centre for Policy Studies,01/01/1974,Gtrfr4Nt7lpvDnAkPQfvoChSzW0,John Gordon Cluff,Director,29/05/1996,09/08/2012,03179606,Amara Mining (Burkina) Limited,Ltd,28/03/1996,10/08/2019,07290,Mining and Quarrying,Mining of other non-ferrous metal ores
EU-1682,Right,Centre for Policy Studies,01/01/1974,Gtrfr4Nt7lpvDnAkPQfvoChSzW0,John Gordon Cluff,Director,07/11/2003,09/08/2012,04842192,Amara Mining (Sierra Leone) Limited,Ltd,23/07/2003,10/08/2019,07290,Mining and Quarrying,Mining of other non-ferrous metal ores
EU-1682,Right,Centre for Policy Studies,01/01/1974,Gtrfr4Nt7lpvDnAkPQfvoChSzW0,John Gordon Cluff,Director,20/05/2004,28/05/2012,04822520,Amara Mining Limited,Ltd,06/07/2003,,07290,Mining and Quarrying,Mining of other non-ferrous metal ores
EU-1682,Right,Centre for Policy Studies,01/01/1974,Gtrfr4Nt7lpvDnAkPQfvoChSzW0,John Gordon Cluff,Director,29/07/2004,09/08/2012,05136012,Amara Mining (Cote D'ivoire) Limited,Ltd,24/05/2004,,07290,Mining and Quarrying,Mining of other non-ferrous metal ores
EU-1682,Right,Centre for Policy Studies,01/01/1974,Gtrfr4Nt7lpvDnAkPQfvoChSzW0,John Gordon Cluff,Director,01/10/2010,01/12/2010,07336170,Cluff Africa Associates Uk Ltd,Ltd,04/08/2010,18/03/2022,07290,Mining and Quarrying,Mining of other non-ferrous metal ores
EU-1682,Right,Centre for Policy Studies,01/01/1974,Gtrfr4Nt7lpvDnAkPQfvoChSzW0,John Gordon Cluff,Director,01/12/2010,22/03/2018,07336170,Cluff Africa Associates Uk Ltd,Ltd,04/08/2010,18/03/2022,07290,Mining and Quarrying,Mining of other non-ferrous metal ores
EU-1496,Right,Institute of Economic Affairs,01/01/1955,I-YaDsekY9uzHQdqqhc-MXtDei8,Bruno George Prior,Director,01/02/2007,,01738920,Summerleaze Limited,Ltd,12/07/1983,,08120,Mining and Quarrying,Operation of gravel and sand pits; mining of clays and kaolin
EU-1682,Right,Centre for Policy Studies,01/01/1974,Gtrfr4Nt7lpvDnAkPQfvoChSzW0,John Gordon Cluff,Director,01/10/2010,01/12/2010,07336170,Cluff Africa Associates Uk Ltd,Ltd,04/08/2010,18/03/2022,08990,Mining and Quarrying,Other mining and quarrying n.e.c.
EU-1682,Right,Centre for Policy Studies,01/01/1974,Gtrfr4Nt7lpvDnAkPQfvoChSzW0,John Gordon Cluff,Director,01/12/2010,22/03/2018,07336170,Cluff Africa Associates Uk Ltd,Ltd,04/08/2010,18/03/2022,08990,Mining and Quarrying,Other mining and quarrying n.e.c.
EU-1351,Right,Adam Smith Institute,01/01/1977,CSxHcD70n3uGlFZx_E0vYxsm1aY,Rachel June English,Director,28/03/2012,24/10/2013,04343841,Petropavlovsk Plc,Plc,20/12/2001,,08990,Mining and Quarrying,Other mining and quarrying n.e.c.
EU-1351,Right,Adam Smith Institute,01/01/1977,CSxHcD70n3uGlFZx_E0vYxsm1aY,Rachel June English,Director,24/10/2013,17/09/2019,07123187,Barrick Tz Limited,Ltd,12/01/2010,,08990,Mining and Quarrying,Other mining and quarrying n.e.c.
EU-1682,Right,Centre for Policy Studies,01/01/1974,dVzFnnHeB3CS1WIwiFxyImJnSJw,Sir Michael Aron Heller,Director,,30/01/2023,00112155,Bisichi Plc,Plc,13/10/1910,,08990,Mining and Quarrying,Other mining and quarrying n.e.c.
EU-1488,Left,Institute for Public Policy Research,01/01/1986,E3htNNJkXUengcgKvbV8AedQOJU,Dr Christopher Shaw Gibson Smith,Director,,01/01/1995,00777236,Bp Exploration Services Limited,Ltd,14/10/1963,10/09/2015,09100,Mining and Quarrying,Support activities for petroleum and natural gas mining
EU-1414,Left,Demos,01/01/1993,NaFNMlssEDo3tdnZo77zHwAu6e8,George Robin Paget Ferguson,Director,29/05/2003,,04780414,Tobacco Factory Enterprises Limited,Ltd,29/05/2003,,10710,Manufacturing,Manufacture of bread; manufacture of fresh pastry goods and cakes
EU-1217,Right,Policy Exchange,01/01/2002,mPXsGw3H9FenMgoV1RQTvYzMX08,Lord Karan Faridoon Bilimoria,Director,15/05/2009,,06804374,General Bilimoria Wines Limited,Ltd,28/01/2009,,11020,Manufacturing,Manufacture of wine from grape
EU-1414,Left,Demos,01/01/1993,NaFNMlssEDo3tdnZo77zHwAu6e8,George Robin Paget Ferguson,Director,31/08/2003,,04461901,Bristol Brewing Company Limited,Ltd,14/06/2002,,11050,Manufacturing,Manufacture of beer
EU-1217,Right,Policy Exchange,01/01/2002,mPXsGw3H9FenMgoV1RQTvYzMX08,Lord Karan Faridoon Bilimoria,Director,15/05/2009,,06804340,Cobra Beer Partnership Limited,Ltd,28/01/2009,,11050,Manufacturing,Manufacture of beer
EU-1217,Right,Policy Exchange,01/01/2002,PRkM4YROtgu1HGowRFLdv58oh2c,Lord Andrew Simon Feldman,Director,,,02553033,Jayroma (London) Limited,Ltd,29/10/1990,20/08/2019,14132,Manufacturing,Manufacture of other women's outerwear
EU-1217,Right,Policy Exchange,01/01/2002,PRkM4YROtgu1HGowRFLdv58oh2c,Lord Andrew Simon Feldman,Secretary,12/03/2008,,02553033,Jayroma (London) Limited,Ltd,29/10/1990,20/08/2019,14132,Manufacturing,Manufacture of other women's outerwear
EU-1682,Right,Centre for Policy Studies,01/01/1974,Gtrfr4Nt7lpvDnAkPQfvoChSzW0,John Gordon Cluff,Director,20/03/1996,04/05/2004,03165108,Ridge Mining (Uk) Limited,Ltd,27/02/1996,28/09/2010,1450,Unknown,Unknown
EU-1217,Right,Policy Exchange,01/01/2002,bwlwtH2ksiKLgWQCPrl__P4-bVM,Simon Edward Brocklebank-Fowler,Director,18/01/2008,10/06/2010,05106378,Alive and Kicking U.K.,PrivateLimitedGuarantNscLimitedExemption,20/04/2004,,15120,Manufacturing,"Manufacture of luggage, handbags and the like, saddlery and harness"
EU-1488,Left,Institute for Public Policy Research,01/01/1986,7Ahp-QM3CJ_nPi3uWRcOSr52H9o,Lord Robert Gavron of Highgate,Director,,01/07/1994,00720976,Walstead Roche Limited,Ltd,09/04/1962,,18129,Manufacturing,Printing n.e.c.
EU-1488,Left,Institute for Public Policy Research,01/01/1986,7Ahp-QM3CJ_nPi3uWRcOSr52H9o,Lord Robert Gavron of Highgate,Director,,01/07/1994,00342498,Clays Ltd.,Ltd,14/07/1938,,18129,Manufacturing,Printing n.e.c.
EU-1488,Left,Institute for Public Policy Research,01/01/1986,7Ahp-QM3CJ_nPi3uWRcOSr52H9o,Lord Robert Gavron of Highgate,Director,,01/07/1994,00342498,Clays Ltd.,Ltd,14/07/1938,,18140,Manufacturing,Binding and related services
EU-1414,Left,Demos,01/01/1993,-8S1faeTmEkewg20ZX-dIo476ck,Andrew Stewart Mackenzie,Director,01/09/2001,31/07/2004,00194971,Bp Chemicals Limited,Ltd,09/01/1924,,20130,Manufacturing,Manufacture of other inorganic basic chemicals
EU-1488,Left,Institute for Public Policy Research,01/01/1986,E3htNNJkXUengcgKvbV8AedQOJU,Dr Christopher Shaw Gibson Smith,Director,01/09/1995,31/08/1997,00194971,Bp Chemicals Limited,Ltd,09/01/1924,,20130,Manufacturing,Manufacture of other inorganic basic chemicals
EU-1496,Right,Institute of Economic Affairs,01/01/1955,xLY2x0BMonW4eoBlBl6mwOEAmsA,Sir Peter Ingram Walters,Director,,31/12/2000,02337959,Smithkline Beecham Limited,Ltd,24/01/1989,,21100,Manufacturing,Manufacture of basic pharmaceutical products
EU-1351,Right,Adam Smith Institute,01/01/1977,urTgGEDoK27IEQZMh_cG3qJyuSw,Sir Robert Anthony Clark,Director,,24/04/1995,02337959,Smithkline Beecham Limited,Ltd,24/01/1989,,21100,Manufacturing,Manufacture of basic pharmaceutical products
EU-1488,Left,Institute for Public Policy Research,01/01/1986,L6Ov-K4gw19EcZWOQco20lp9PtY,Chaitanya Bhupendra Patel,Director,30/04/2010,19/11/2014,07112415,Integrated Pharmaceutical Services (Ips) Limited,Ltd,23/12/2009,,21200,Manufacturing,Manufacture of pharmaceutical preparations
EU-1842,Right,The Centre for Social Justice,01/01/2004,tgP24OAgX577vJpiXchUr04Th9Q,Carl Alan Mark Florman,Director,13/11/2000,10/10/2003,04038199,Florman Publishing Limited,Ltd,21/07/2000,16/08/2011,2211,Unknown,Unknown
EU-1488,Left,Institute for Public Policy Research,01/01/1986,TBPI57--AVF9Ap0SvtBBUbaBZYQ,John Crowther Makinson,Director,28/02/2005,01/01/2007,02169055,Godfrey Cave Holdings Limited,Ltd,25/09/1987,30/03/2012,2211,Unknown,Unknown
EU-1488,Left,Institute for Public Policy Research,01/01/1986,TBPI57--AVF9Ap0SvtBBUbaBZYQ,John Crowther Makinson,Director,28/02/2005,01/01/2007,00543867,George Rainbird Limited,Ltd,28/01/1955,19/08/2011,2211,Unknown,Unknown
EU-1414,Left,Demos,01/01/1993,CmrTOYkQFkytNMePMdUq4QJKbr4,Lord Shutt of Greetland David Trevor Shutt of Greetland,Director,,30/01/1995,00202561,Ex-Gdc Limited,Ltd,20/12/1924,09/08/2019,2211,Unknown,Unknown
EU-1682,Right,Centre for Policy Studies,01/01/1974,FFpt8gMvp2qw27hoIbuj-JK0IXA,Lord Spencer of Alresford Michael Alan Spencer,Director,08/09/1993,06/04/2009,02633167,The Weekend City Press Review Limited,Ltd,29/07/1991,05/06/2012,2213,Unknown,Unknown
EU-1414,Left,Demos,01/01/1993,-8S1faeTmEkewg20ZX-dIo476ck,Andrew Stewart Mackenzie,Director,01/02/2004,31/07/2004,00325744,Bxl Plastics Limited,Ltd,22/03/1937,,22290,Manufacturing,Manufacture of other plastic products
EU-1496,Right,Institute of Economic Affairs,01/01/1955,xLY2x0BMonW4eoBlBl6mwOEAmsA,Sir Peter Ingram Walters,Director,,22/05/1996,00066558,Tarmac Cement and Lime Limited,Ltd,10/07/1900,,23320,Manufacturing,"Manufacture of bricks, tiles and construction products, in baked clay"
EU-1496,Right,Institute of Economic Affairs,01/01/1955,xLY2x0BMonW4eoBlBl6mwOEAmsA,Sir Peter Ingram Walters,Director,,22/05/1996,00066558,Tarmac Cement and Lime Limited,Ltd,10/07/1900,,23510,Manufacturing,Manufacture of cement
EU-1682,Right,Centre for Policy Studies,01/01/1974,sz59Dvx4cbADwwQhnHW25So1i-c,Sir Ronald Halstead,Director,,27/07/1994,02280000,Tata Steel Uk Limited,Ltd,26/07/1988,,24100,Manufacturing,Manufacture of basic iron and steel and of ferro-alloys
EU-1488,Left,Institute for Public Policy Research,01/01/1986,WXvTelYOt4YGbTPNZC6vosRE_A4,Lord Clive Richard Hollick of Notting Hill,Director,,28/05/1997,01470151,Bae Systems Plc,Plc,31/12/1979,,25400,Manufacturing,Manufacture of weapons and ammunition
EU-1842,Right,The Centre for Social Justice,01/01/2004,UQ-V_nGtFPeGzR5eUCvD9xjGhNk,John Martineau Kinder,Director,18/11/2003,25/11/2003,04949934,Bulgin Limited,Ltd,31/10/2003,,26110,Manufacturing,Manufacture of electronic components
EU-1842,Right,The Centre for Social Justice,01/01/2004,GDVfAw6VAzUhcJJ5_cslHOnFebE,Lord David Lindsay Willetts,Director,01/09/2015,22/07/2022,01916260,Surrey Satellite Technology Limited,Ltd,23/05/1985,,26110,Manufacturing,Manufacture of electronic components
EU-1682,Right,Centre for Policy Studies,01/01/1974,iOQy-5akimHZqA-hB6hVzFmI-u8,John Alfred Stoddard Nash,Director,,16/09/1992,01558786,Computer Recognition Systems Limited,Ltd,29/04/1981,15/01/2019,26200,Manufacturing,Manufacture of computers and peripheral equipment
EU-1488,Left,Institute for Public Policy Research,01/01/1986,TBPI57--AVF9Ap0SvtBBUbaBZYQ,John Crowther Makinson,Director,25/04/2016,30/12/2020,08375450,Kano Computing Limited,Ltd,25/01/2013,,26200,Manufacturing,Manufacture of computers and peripheral equipment
EU-1162,Right,Reform,04/03/2004,F1GN-HT5swbE1VJGxgmGRwP0Rfw,Stephen Thomas Hargrave,Director,21/06/1993,21/02/1994,02018906,Ltg Gateshead Limited,Ltd,12/05/1986,,2852,Unknown,Unknown
EU-1682,Right,Centre for Policy Studies,01/01/1974,lEFPOVAk9XyO_gEA07hptokWth4,Robert Ian Molson,Director,14/06/2017,,00564955,J.C.B. Service,PrivateUnlimited,19/04/1956,,28922,Manufacturing,Manufacture of earthmoving equipment
EU-1488,Left,Institute for Public Policy Research,01/01/1986,WXvTelYOt4YGbTPNZC6vosRE_A4,Lord Clive Richard Hollick of Notting Hill,Director,,28/05/1997,01470151,Bae Systems Plc,Plc,31/12/1979,,29100,Manufacturing,Manufacture of motor vehicles
EU-1488,Left,Institute for Public Policy Research,01/01/1986,WXvTelYOt4YGbTPNZC6vosRE_A4,Lord Clive Richard Hollick of Notting Hill,Director,,28/05/1997,01470151,Bae Systems Plc,Plc,31/12/1979,,30110,Manufacturing,Building of ships and floating structures
EU-1682,Right,Centre for Policy Studies,01/01/1974,NmlOgS1fRwOF7L2gBmS6WKwXmCU,Jonathan Paul Moulton,Director,19/06/2015,13/01/2016,04069894,Cav Aerospace Limited,Ltd,12/09/2000,07/12/2019,30300,Manufacturing,Manufacture of air and spacecraft and related machinery
EU-1488,Left,Institute for Public Policy Research,01/01/1986,WXvTelYOt4YGbTPNZC6vosRE_A4,Lord Clive Richard Hollick of Notting Hill,Director,,28/05/1997,01470151,Bae Systems Plc,Plc,31/12/1979,,30300,Manufacturing,Manufacture of air and spacecraft and related machinery
EU-1842,Right,The Centre for Social Justice,01/01/2004,GDVfAw6VAzUhcJJ5_cslHOnFebE,Lord David Lindsay Willetts,Director,01/09/2015,22/07/2022,01916260,Surrey Satellite Technology Limited,Ltd,23/05/1985,,30300,Manufacturing,Manufacture of air and spacecraft and related machinery
EU-1488,Left,Institute for Public Policy Research,01/01/1986,zaz_W0A5Sm66BnMzKl9G869r66U,Charles Jeremy Mawdesley Hardie,Director,,04/02/1985,01882454,Bbs Rooflight Company Limited,Ltd,04/02/1985,15/04/2016,32990,Manufacturing,Other manufacturing n.e.c.
EU-1217,Right,Policy Exchange,01/01/2002,lUmFaKI_-7qodDFxQAewWCNjc98,David Robert Meller,Director,18/01/2002,30/09/2013,01672570,Meller Beauty Limited,Ltd,19/10/1982,,32990,Manufacturing,Other manufacturing n.e.c.
EU-1217,Right,Policy Exchange,01/01/2002,lUmFaKI_-7qodDFxQAewWCNjc98,David Robert Meller,Director,29/01/2021,,01672570,Meller Beauty Limited,Ltd,19/10/1982,,32990,Manufacturing,Other manufacturing n.e.c.
EU-1256,Left,Compass,01/01/2003,G_3cHl8NkQRXmrIrGc0t90gYrwo,Neal Derek Lawson,Director,17/07/2012,,08146229,Macangel Ltd,Ltd,17/07/2012,23/03/2021,32990,Manufacturing,Other manufacturing n.e.c.
EU-1496,Right,Institute of Economic Affairs,01/01/1955,xLY2x0BMonW4eoBlBl6mwOEAmsA,Sir Peter Ingram Walters,Director,,22/05/1996,00066558,Tarmac Cement and Lime Limited,Ltd,10/07/1900,,32990,Manufacturing,Other manufacturing n.e.c.
EU-1414,Left,Demos,01/01/1993,PeQcO5mWAXnpGRro6x4e2BIsw5E,Vaughan Albury Williams,Secretary,01/03/2007,01/12/2007,03158058,Rsn Enterprises Limited,Ltd,13/02/1996,,32990,Manufacturing,Other manufacturing n.e.c.
EU-1414,Left,Demos,01/01/1993,-8S1faeTmEkewg20ZX-dIo476ck,Andrew Stewart Mackenzie,Director,01/09/2005,10/05/2013,03033654,Centrica Plc,Plc,16/03/1995,,35110,"Electricity, gas, steam and air conditioning supply",Production of electricity
EU-1496,Right,Institute of Economic Affairs,01/01/1955,I-YaDsekY9uzHQdqqhc-MXtDei8,Bruno George Prior,Director,23/12/2002,31/01/2007,00151665,Infinis (Re-Gen) Limited,Ltd,14/10/1918,,35110,"Electricity, gas, steam and air conditioning supply",Production of electricity
EU-1842,Right,The Centre for Social Justice,01/01/2004,lEJ7idslpxae-9stRuZa79Vm37k,James Charles Wilcox,Director,01/04/2015,24/08/2015,08333348,Outwood Solar Limited,Ltd,17/12/2012,,35110,"Electricity, gas, steam and air conditioning supply",Production of electricity
EU-1682,Right,Centre for Policy Studies,01/01/1974,Gtrfr4Nt7lpvDnAkPQfvoChSzW0,John Gordon Cluff,Director,31/03/2010,28/04/2014,07207283,Cluff Geothermal Limited,Ltd,30/03/2010,,35110,"Electricity, gas, steam and air conditioning supply",Production of electricity
EU-1496,Right,Institute of Economic Affairs,01/01/1955,SdygTttdo_ZPucvePoz5Gg_Fh_E,Robin Warwick Edwards,Director,17/04/2012,18/02/2014,08033066,Hemex Wind (1) Ltd,Ltd,17/04/2012,01/09/2015,35110,"Electricity, gas, steam and air conditioning supply",Production of electricity
EU-1162,Right,Reform,04/03/2004,F1GN-HT5swbE1VJGxgmGRwP0Rfw,Stephen Thomas Hargrave,Director,01/07/2005,26/04/2010,05496202,Ipsa Group Plc,Plc,01/07/2005,27/08/2019,35110,"Electricity, gas, steam and air conditioning supply",Production of electricity
EU-1414,Left,Demos,01/01/1993,-8S1faeTmEkewg20ZX-dIo476ck,Andrew Stewart Mackenzie,Director,01/09/2005,10/05/2013,03033654,Centrica Plc,Plc,16/03/1995,,35130,"Electricity, gas, steam and air conditioning supply",Distribution of electricity
EU-1488,Left,Institute for Public Policy Research,01/01/1986,eCh2Uz-IsqEE22Gi_ojbEN4APgQ,Lord John Leonard Eatwell,Director,09/01/1997,29/06/2022,02823554,Q College Property Limited,Ltd,02/06/1993,,35140,"Electricity, gas, steam and air conditioning supply",Trade of electricity
EU-1414,Left,Demos,01/01/1993,-8S1faeTmEkewg20ZX-dIo476ck,Andrew Stewart Mackenzie,Director,01/09/2005,10/05/2013,03033654,Centrica Plc,Plc,16/03/1995,,35210,"Electricity, gas, steam and air conditioning supply",Manufacture of gas
EU-1414,Left,Demos,01/01/1993,-8S1faeTmEkewg20ZX-dIo476ck,Andrew Stewart Mackenzie,Director,01/09/2005,10/05/2013,03033654,Centrica Plc,Plc,16/03/1995,,35220,"Electricity, gas, steam and air conditioning supply",Distribution of gaseous fuels through mains
EU-1682,Right,Centre for Policy Studies,01/01/1974,9OZ1mqM10FP-LWYd2ExwLX3P0Z0,Lord Harold Stanley Kalms,Director,,17/02/1997,02006000,National Gas Transmission Plc,Plc,01/04/1986,,35220,"Electricity, gas, steam and air conditioning supply",Distribution of gaseous fuels through mains
EU-1488,Left,Institute for Public Policy Research,01/01/1986,eCh2Uz-IsqEE22Gi_ojbEN4APgQ,Lord John Leonard Eatwell,Director,09/01/1997,29/06/2022,02823554,Q College Property Limited,Ltd,02/06/1993,,35230,"Electricity, gas, steam and air conditioning supply",Trade of gas through mains
