ThinkTankPoliticalWing,ThinkTankName,ThinkTankFoundedOn,OfficerId,OfficerName,OfficerRole,OfficerAppointedOn,OfficerResignedOn,CompanyNumber,CompanyName,CompanyDateOfCreation,CompanyDateOfCessation,CompanySicCode,CompanySicCodeCategory,CompanySicCodeDescription
Right,Adam Smith Institute,01/01/1977,25a5g-v8cMD6Hpts6xG9uFayc6Y,Dr Layth Bunni,Director,06/09/2010,31/03/2017,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,25a5g-v8cMD6Hpts6xG9uFayc6Y,Dr Layth Bunni,Director,06/09/2010,31/03/2017,05662199,The Amphion Group Limited,23/12/2005,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,SOS6ciffXr9zjzrFjJyoNtK04LA,Martin Stuart Davidson,Director,30/07/2009,,06977348,I.I. Foundation,30/07/2009,26/11/2013,85510,Education,Sports and recreation education
Right,Adam Smith Institute,01/01/1977,SOS6ciffXr9zjzrFjJyoNtK04LA,Martin Stuart Davidson,Director,30/07/2009,,06977348,I.I. Foundation,30/07/2009,26/11/2013,93199,"Arts, entertainment and recreation",Other sports activities
Right,Adam Smith Institute,01/01/1977,SOS6ciffXr9zjzrFjJyoNtK04LA,Martin Stuart Davidson,Director,30/07/2009,,06977348,I.I. Foundation,30/07/2009,26/11/2013,99000,Activities of extraterritorial organisations and bodies,Activities of extraterritorial organisations and bodies
Right,Adam Smith Institute,01/01/1977,SOS6ciffXr9zjzrFjJyoNtK04LA,Martin Stuart Davidson,Director,28/06/2007,,01196043,Great Britain-China Centre(the),10/01/1975,,85590,Education,Other education n.e.c.
Right,Adam Smith Institute,01/01/1977,SOS6ciffXr9zjzrFjJyoNtK04LA,Martin Stuart Davidson,Director,01/10/2011,24/09/2019,00552847,Leonard Cheshire Disability,03/08/1955,,86900,Human health and social work activities,Other human health activities
Right,Adam Smith Institute,01/01/1977,SOS6ciffXr9zjzrFjJyoNtK04LA,Martin Stuart Davidson,Director,01/10/2011,24/09/2019,00552847,Leonard Cheshire Disability,03/08/1955,,87100,Human health and social work activities,Residential nursing care facilities
Right,Adam Smith Institute,01/01/1977,SOS6ciffXr9zjzrFjJyoNtK04LA,Martin Stuart Davidson,Director,01/10/2011,24/09/2019,00552847,Leonard Cheshire Disability,03/08/1955,,87200,Human health and social work activities,"Residential care activities for learning difficulties, mental health and substance abuse"
Right,Adam Smith Institute,01/01/1977,SOS6ciffXr9zjzrFjJyoNtK04LA,Martin Stuart Davidson,Director,01/10/2011,24/09/2019,00552847,Leonard Cheshire Disability,03/08/1955,,87300,Human health and social work activities,Residential care activities for the elderly and disabled
Right,Adam Smith Institute,01/01/1977,CSxHcD70n3uGlFZx_E0vYxsm1aY,Rachel June English,Director,26/07/2010,,07194448,Helios Foundation for Sustainable Development,18/03/2010,,72200,"Professional, scientific and technical activities",Research and experimental development on social sciences and humanities
Right,Adam Smith Institute,01/01/1977,CSxHcD70n3uGlFZx_E0vYxsm1aY,Rachel June English,Director,23/11/2009,,07084209,Helios Social Enterprise,23/11/2009,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,CSxHcD70n3uGlFZx_E0vYxsm1aY,Rachel June English,Director,24/10/2013,17/09/2019,07123187,Barrick Tz Limited,12/01/2010,,08990,Mining and Quarrying,Other mining and quarrying n.e.c.
Right,Adam Smith Institute,01/01/1977,CSxHcD70n3uGlFZx_E0vYxsm1aY,Rachel June English,Director,28/03/2012,24/10/2013,04343841,Petropavlovsk Plc,20/12/2001,,08990,Mining and Quarrying,Other mining and quarrying n.e.c.
Right,Adam Smith Institute,01/01/1977,CSxHcD70n3uGlFZx_E0vYxsm1aY,Rachel June English,Director,28/03/2012,24/10/2013,04343841,Petropavlovsk Plc,20/12/2001,,70100,"Professional, scientific and technical activities",Activities of head offices
Right,Adam Smith Institute,01/01/1977,CSxHcD70n3uGlFZx_E0vYxsm1aY,Rachel June English,Director,23/07/2006,16/10/2010,04027804,Vision Action,06/07/2000,,74990,"Professional, scientific and technical activities",Non-trading company non trading
Right,Adam Smith Institute,01/01/1977,CSxHcD70n3uGlFZx_E0vYxsm1aY,Rachel June English,Director,23/07/2006,16/10/2010,04027804,Vision Action,06/07/2000,,86900,Human health and social work activities,Other human health activities
Right,Adam Smith Institute,01/01/1977,CSxHcD70n3uGlFZx_E0vYxsm1aY,Rachel June English,Director,23/07/2006,16/10/2010,04027804,Vision Action,06/07/2000,,94990,Other service activities,Activities of other membership organisations n.e.c.
Right,Adam Smith Institute,01/01/1977,mt6ktIl3dENSdNcNd7enCVUwdSs,William Sinclair Morrison,Director,16/12/2011,,01764377,Trireme Trust(the),25/10/1983,24/04/2018,85520,Education,Cultural education
Right,Adam Smith Institute,01/01/1977,mt6ktIl3dENSdNcNd7enCVUwdSs,William Sinclair Morrison,Director,28/02/2006,02/05/2017,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,mt6ktIl3dENSdNcNd7enCVUwdSs,William Sinclair Morrison,Director,28/02/2006,02/05/2017,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,mt6ktIl3dENSdNcNd7enCVUwdSs,William Sinclair Morrison,Director,09/03/2012,02/05/2017,07976084,Aquileia Limited,05/03/2012,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,mt6ktIl3dENSdNcNd7enCVUwdSs,William Sinclair Morrison,Director,23/12/2005,02/05/2017,05662199,The Amphion Group Limited,23/12/2005,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,lvN9rGbr848kYibiH9zpYK0_pyQ,Jonathan Pell,Director,28/10/2013,,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,lvN9rGbr848kYibiH9zpYK0_pyQ,Jonathan Pell,Director,28/10/2013,30/10/2020,05662199,The Amphion Group Limited,23/12/2005,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,lvN9rGbr848kYibiH9zpYK0_pyQ,Jonathan Pell,Director,28/10/2013,30/10/2020,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,lvN9rGbr848kYibiH9zpYK0_pyQ,Jonathan Pell,Director,28/10/2013,11/09/2020,07976084,Aquileia Limited,05/03/2012,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,rSR_ux9y5A8EwhjC-8KInE-2Vaw,Keir James Prince,Secretary,22/08/2002,06/01/2014,04517118,Trinorth Limited,22/08/2002,,58190,Information and communication,Other publishing activities
Right,Adam Smith Institute,01/01/1977,rSR_ux9y5A8EwhjC-8KInE-2Vaw,Keir James Prince,Director,22/08/2002,06/01/2014,04517118,Trinorth Limited,22/08/2002,,58190,Information and communication,Other publishing activities
Right,Adam Smith Institute,01/01/1977,rSR_ux9y5A8EwhjC-8KInE-2Vaw,Keir James Prince,Secretary,21/10/2008,06/01/2014,04963187,All Out Cricket Limited,13/11/2003,10/12/2019,58142,Information and communication,Publishing of consumer and business journals and periodicals
Right,Adam Smith Institute,01/01/1977,rSR_ux9y5A8EwhjC-8KInE-2Vaw,Keir James Prince,Director,12/01/2004,06/01/2014,04963187,All Out Cricket Limited,13/11/2003,10/12/2019,58142,Information and communication,Publishing of consumer and business journals and periodicals
Right,Adam Smith Institute,01/01/1977,1o09nW3Xlv-oyqpGcnx8Zl_I9I4,Sir Malcolm Leslie Rifkind,Director,27/03/2012,,07991677,The Dulverton Trust,15/03/2012,,74990,"Professional, scientific and technical activities",Non-trading company non trading
Right,Adam Smith Institute,01/01/1977,1o09nW3Xlv-oyqpGcnx8Zl_I9I4,Sir Malcolm Leslie Rifkind,Director,08/02/2011,,07521896,European Leadership Network,08/02/2011,,72200,"Professional, scientific and technical activities",Research and experimental development on social sciences and humanities
Right,Adam Smith Institute,01/01/1977,1o09nW3Xlv-oyqpGcnx8Zl_I9I4,Sir Malcolm Leslie Rifkind,Director,17/06/2008,25/08/2017,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,1o09nW3Xlv-oyqpGcnx8Zl_I9I4,Sir Malcolm Leslie Rifkind,Director,17/06/2008,25/08/2017,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,1o09nW3Xlv-oyqpGcnx8Zl_I9I4,Sir Malcolm Leslie Rifkind,Director,09/03/2012,25/08/2017,07976084,Aquileia Limited,05/03/2012,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,1o09nW3Xlv-oyqpGcnx8Zl_I9I4,Sir Malcolm Leslie Rifkind,Director,17/06/2008,25/08/2017,05662199,The Amphion Group Limited,23/12/2005,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,1o09nW3Xlv-oyqpGcnx8Zl_I9I4,Sir Malcolm Leslie Rifkind,Director,27/01/2014,21/09/2015,08601376,Alliance Medical Group Limited,08/07/2013,,86900,Human health and social work activities,Other human health activities
Right,Adam Smith Institute,01/01/1977,1o09nW3Xlv-oyqpGcnx8Zl_I9I4,Sir Malcolm Leslie Rifkind,Director,23/07/2013,30/04/2015,00252737,United Holdings Limited,13/12/1930,,70100,"Professional, scientific and technical activities",Activities of head offices
Right,Adam Smith Institute,01/01/1977,1o09nW3Xlv-oyqpGcnx8Zl_I9I4,Sir Malcolm Leslie Rifkind,Director,12/05/2010,30/04/2015,00041424,Unilever Plc,21/06/1894,,70100,"Professional, scientific and technical activities",Activities of head offices
Right,Adam Smith Institute,01/01/1977,JHV1EW_QPvRK-jUszwcFlsisZ2U,Amitabh Shrivastava,Director,09/03/2012,31/03/2017,07976084,Aquileia Limited,05/03/2012,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,JHV1EW_QPvRK-jUszwcFlsisZ2U,Amitabh Shrivastava,Director,16/02/2011,31/03/2017,05662199,The Amphion Group Limited,23/12/2005,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,JHV1EW_QPvRK-jUszwcFlsisZ2U,Amitabh Shrivastava,Director,16/02/2011,31/03/2017,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,JHV1EW_QPvRK-jUszwcFlsisZ2U,Amitabh Shrivastava,Director,16/02/2011,31/03/2017,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,K5TsbUsgTK0NN5zAuTS8bPpWMBQ,Rodney Slee,Director,14/03/2006,,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,K5TsbUsgTK0NN5zAuTS8bPpWMBQ,Rodney Slee,Director,19/12/2001,,04342628,Sleeconsult Limited,19/12/2001,28/02/2023,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,K5TsbUsgTK0NN5zAuTS8bPpWMBQ,Rodney Slee,Director,06/06/2006,01/11/2020,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,K5TsbUsgTK0NN5zAuTS8bPpWMBQ,Rodney Slee,Director,06/06/2006,23/10/2020,05662199,The Amphion Group Limited,23/12/2005,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,K5TsbUsgTK0NN5zAuTS8bPpWMBQ,Rodney Slee,Director,09/03/2012,01/10/2019,07976084,Aquileia Limited,05/03/2012,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,K5TsbUsgTK0NN5zAuTS8bPpWMBQ,Rodney Slee,Director,14/03/2006,,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,K5TsbUsgTK0NN5zAuTS8bPpWMBQ,Rodney Slee,Director,19/12/2001,,04342628,Sleeconsult Limited,19/12/2001,28/02/2023,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,K5TsbUsgTK0NN5zAuTS8bPpWMBQ,Rodney Slee,Director,06/06/2006,01/11/2020,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,K5TsbUsgTK0NN5zAuTS8bPpWMBQ,Rodney Slee,Director,06/06/2006,23/10/2020,05662199,The Amphion Group Limited,23/12/2005,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,K5TsbUsgTK0NN5zAuTS8bPpWMBQ,Rodney Slee,Director,09/03/2012,01/10/2019,07976084,Aquileia Limited,05/03/2012,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,7ECyB1ZGmAj7K46k5HnzRs4uzQI,Robert Terry,Director,12/05/2011,,07632455,Kiteworks Limited,12/05/2011,19/10/2021,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,7ECyB1ZGmAj7K46k5HnzRs4uzQI,Robert Terry,Director,12/05/2011,,07632455,Kiteworks Limited,12/05/2011,19/10/2021,99999,Activities of extraterritorial organisations and bodies,Dormant Company
Right,Adam Smith Institute,01/01/1977,7ECyB1ZGmAj7K46k5HnzRs4uzQI,Robert Terry,Director,24/03/2011,,07577908,The Kite Foundation,24/03/2011,19/04/2016,85590,Education,Other education n.e.c.
Right,Adam Smith Institute,01/01/1977,7ECyB1ZGmAj7K46k5HnzRs4uzQI,Robert Terry,Director,31/01/1999,,02249209,The Cambridge Management Centre Limited,28/04/1988,19/04/2016,74990,"Professional, scientific and technical activities",Non-trading company non trading
Right,Adam Smith Institute,01/01/1977,7ECyB1ZGmAj7K46k5HnzRs4uzQI,Robert Terry,Director,02/07/1998,,01648021,Cambridge Management Centres Plc,02/07/1982,19/04/2016,74990,"Professional, scientific and technical activities",Non-trading company non trading
Right,Adam Smith Institute,01/01/1977,7ECyB1ZGmAj7K46k5HnzRs4uzQI,Robert Terry,Director,22/06/1998,,03571233,Webtrain Limited,28/05/1998,19/04/2016,85590,Education,Other education n.e.c.
Right,Adam Smith Institute,01/01/1977,7ECyB1ZGmAj7K46k5HnzRs4uzQI,Robert Terry,Director,01/02/1995,,03000182,People Events Limited,09/12/1994,19/04/2016,74990,"Professional, scientific and technical activities",Non-trading company non trading
Right,Adam Smith Institute,01/01/1977,7ECyB1ZGmAj7K46k5HnzRs4uzQI,Robert Terry,Director,06/06/1994,,02935699,"Attitudes, Skills & Knowledge Ltd.",31/05/1994,18/10/2016,85590,Education,Other education n.e.c.
Right,Adam Smith Institute,01/01/1977,7ECyB1ZGmAj7K46k5HnzRs4uzQI,Robert Terry,Director,28/11/1994,10/04/2017,02989543,Ask Europe Limited,11/11/1994,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,PTD6ZRGrlMPwHdFuol36-1_IOxw,Roger Andrew Usher,Director,03/03/2009,,06834601,Rusha Consultants Limited,03/03/2009,27/11/2013,74909,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c."
Right,Adam Smith Institute,01/01/1977,PTD6ZRGrlMPwHdFuol36-1_IOxw,Roger Andrew Usher,Director,01/02/1993,20/01/2020,00397914,St Georges School (Harpenden) Limited,18/08/1945,,85310,Education,General secondary education
Right,Adam Smith Institute,01/01/1977,PTD6ZRGrlMPwHdFuol36-1_IOxw,Roger Andrew Usher,Director,01/06/2012,06/01/2020,08092358,"St George's School, Harpenden Academy Trust",01/06/2012,,85310,Education,General secondary education
Right,Adam Smith Institute,01/01/1977,PTD6ZRGrlMPwHdFuol36-1_IOxw,Roger Andrew Usher,Director,04/03/2002,07/09/2010,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,PTD6ZRGrlMPwHdFuol36-1_IOxw,Roger Andrew Usher,Director,07/12/2005,07/09/2010,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,PTD6ZRGrlMPwHdFuol36-1_IOxw,Roger Andrew Usher,Director,23/12/2005,07/09/2010,05662199,The Amphion Group Limited,23/12/2005,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Secretary,19/01/2009,31/03/2017,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,17/07/1992,31/03/2017,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,07/12/2005,31/03/2017,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Secretary,19/01/2009,31/03/2017,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Secretary,19/01/2009,31/03/2017,05662199,The Amphion Group Limited,23/12/2005,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,23/12/2005,31/03/2017,05662199,The Amphion Group Limited,23/12/2005,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,06/03/2012,31/03/2017,07976084,Aquileia Limited,05/03/2012,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,lvN9rGbr848kYibiH9zpYK0_pyQ,Jonathan Pell,Director,28/10/2013,,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
